TIMESTAMP,BBM_EBOX_OUT_VOLTAGE_MEASURED,STATOR_AND_MAIN_BATT_IN_VOLTAGE_MEASURED,BBM_WINCH_OUT_VOLTAGE_MEASURED,STATOR_TO_BBM_CURRENT_MEASURED,MAIN_BATT_TO_BBM_CURRENT_MEASURED,BBM_TO_WINCH_AND_BATT_CURRENT_MEASURED,WINCH_BATT_AND_BBM_TO_WINCH_CURRENT_MEASURED,BBM_TO_EBOX_CURRENT_MEASURED
2018-02-22T11-30-30_0009,11.85,12.08,11.84,0.08,0.24,0.10,0.05,0.20
2018-02-22T11-30-30_0010,11.85,12.10,11.83,0.09,0.22,0.08,0.00,0.19
2018-02-22T11-30-30_0011,11.84,12.10,11.83,0.07,0.20,0.08,0.00,0.19
2018-02-22T11-30-30_0012,11.82,12.09,11.85,0.08,0.37,0.10,0.00,0.31
2018-02-22T11-30-30_0013,11.84,12.08,11.83,0.05,0.23,0.10,0.00,0.20
2018-02-22T11-30-30_0014,11.83,12.08,11.85,0.09,0.50,0.10,0.00,0.20
2018-02-22T11-30-30_0015,11.85,12.09,11.85,0.07,0.20,0.06,-0.02,0.18
2018-02-22T11-30-30_0016,11.84,12.09,11.85,0.06,0.24,0.08,0.00,0.49
2018-02-22T11-30-31_0000,11.85,12.10,11.84,0.06,0.21,0.10,-0.02,0.17
2018-02-22T11-30-31_0001,11.84,12.08,11.85,0.06,0.22,0.08,0.00,0.47
2018-02-22T11-30-31_0002,11.84,12.08,11.85,0.10,0.19,0.07,0.02,0.43
2018-02-22T11-30-31_0003,11.85,12.08,11.84,0.07,0.24,0.09,0.05,0.17
2018-02-22T11-30-31_0004,11.84,12.09,11.83,0.07,0.24,0.07,0.02,0.16
2018-02-22T11-30-31_0005,11.83,12.07,11.84,0.05,0.49,0.08,0.00,0.15
2018-02-22T11-30-31_0006,11.85,12.09,11.83,0.06,0.20,0.10,0.02,0.18
2018-02-22T11-30-31_0007,11.84,12.08,11.85,0.05,0.33,0.11,0.09,0.18
2018-02-22T11-30-31_0008,11.85,12.08,11.82,0.08,0.21,0.10,0.02,0.19
2018-02-22T11-30-31_0009,11.83,12.08,11.84,0.07,0.46,0.12,0.00,0.18
2018-02-22T11-30-31_0010,11.85,12.08,11.85,0.09,0.20,0.08,0.02,0.16
2018-02-22T11-30-31_0011,11.83,12.07,11.84,0.10,0.53,0.09,0.00,0.17
2018-02-22T11-30-31_0012,11.85,12.10,11.85,0.07,0.23,0.09,0.02,0.19
2018-02-22T11-30-31_0013,11.84,12.09,11.83,0.07,0.24,0.08,0.00,0.17
2018-02-22T11-30-31_0014,11.84,12.09,11.84,0.08,0.21,0.09,0.02,0.18
2018-02-22T11-30-31_0015,11.85,12.09,11.83,0.05,0.23,0.10,0.00,0.20
2018-02-22T11-30-31_0016,11.85,12.07,11.85,0.05,0.29,0.06,0.00,0.19
2018-02-22T11-30-32_0000,11.85,12.09,11.85,0.08,0.22,0.08,-0.02,0.20
2018-02-22T11-30-32_0001,11.84,12.07,11.84,0.07,0.38,0.09,0.00,0.19
2018-02-22T11-30-32_0002,11.84,12.09,11.85,0.07,0.22,0.08,0.02,0.47
2018-02-22T11-30-32_0003,11.84,12.09,11.85,0.07,0.22,0.08,0.02,0.31
2018-02-22T11-30-32_0004,11.84,12.07,11.85,0.06,0.49,0.08,-0.02,0.19
2018-02-22T11-30-32_0005,11.84,12.06,11.84,0.07,0.34,0.07,0.02,0.19
2018-02-22T11-30-32_0006,11.85,12.09,11.84,0.06,0.18,0.09,0.02,0.20
2018-02-22T11-30-32_0007,11.85,12.09,11.83,0.07,0.20,0.09,-0.05,0.19
2018-02-22T11-30-32_0008,11.84,12.07,11.84,0.07,0.39,0.09,0.02,0.18
2018-02-22T11-30-32_0009,11.84,12.08,11.83,0.09,0.22,0.09,0.00,0.19
2018-02-22T11-30-32_0010,11.84,12.07,11.84,0.06,0.34,0.12,0.02,0.23
2018-02-22T11-30-32_0011,11.82,12.08,11.85,0.06,0.33,0.07,-0.02,0.36
2018-02-22T11-30-32_0012,11.84,12.09,11.83,0.08,0.21,0.08,-0.02,0.17
2018-02-22T11-30-32_0013,11.85,12.08,11.84,0.05,0.22,0.08,0.05,0.21
2018-02-22T11-30-32_0014,11.84,12.07,11.84,0.09,0.24,0.09,-0.02,0.18
2018-02-22T11-30-32_0015,11.84,12.09,11.83,0.10,0.20,0.10,0.00,0.20
2018-02-22T11-30-32_0016,11.84,12.09,11.85,0.06,0.22,0.09,0.02,0.28
2018-02-22T11-30-33_0000,11.85,12.07,11.85,0.06,0.30,0.09,0.02,0.19
2018-02-22T11-30-33_0001,11.82,12.09,11.84,0.05,0.26,0.11,0.05,0.48
2018-02-22T11-30-33_0002,11.84,12.08,11.85,0.08,0.29,0.10,0.02,0.17
2018-02-22T11-30-33_0003,11.84,12.08,11.82,0.09,0.23,0.10,0.00,0.18
2018-02-22T11-30-33_0004,11.85,12.08,11.85,0.07,0.23,0.10,-0.02,0.19
2018-02-22T11-30-33_0005,11.82,12.09,11.85,0.08,0.39,0.12,0.02,0.32
2018-02-22T11-30-33_0006,11.82,12.09,11.85,0.08,0.36,0.13,0.02,0.37
2018-02-22T11-30-33_0007,11.84,12.10,11.84,0.08,0.20,0.11,0.02,0.20
2018-02-22T11-30-33_0008,11.84,12.09,11.83,0.07,0.20,0.08,-0.05,0.18
2018-02-22T11-30-33_0009,11.84,12.09,11.83,0.08,0.20,0.08,0.05,0.19
2018-02-22T11-30-33_0010,11.82,12.08,11.84,0.06,0.36,0.10,0.02,0.37
2018-02-22T11-30-33_0011,11.84,12.10,11.84,0.06,0.20,0.07,-0.02,0.21
2018-02-22T11-30-33_0012,11.85,12.11,11.85,0.05,0.22,0.11,-0.05,0.18
2018-02-22T11-30-33_0013,11.85,12.07,11.85,0.08,0.30,0.09,0.05,0.19
2018-02-22T11-30-33_0014,11.85,12.09,11.85,0.07,0.22,0.11,0.00,0.22
2018-02-22T11-30-33_0015,11.85,12.10,11.84,0.06,0.22,0.11,0.02,0.21
2018-02-22T11-30-33_0016,11.85,12.10,11.84,0.06,0.22,0.07,0.07,0.19
2018-02-22T11-30-33_0017,11.85,12.11,11.85,0.09,0.21,0.10,0.02,0.17
2018-02-22T11-30-34_0000,11.84,12.09,11.83,0.09,0.23,0.11,0.00,0.19
2018-02-22T11-30-34_0001,11.85,12.10,11.85,0.07,0.25,0.08,-0.02,0.18
2018-02-22T11-30-34_0002,11.83,12.09,11.85,0.05,0.42,0.11,0.05,0.32
2018-02-22T11-30-34_0003,11.84,12.09,11.85,0.05,0.21,0.08,-0.02,0.48
2018-02-22T11-30-34_0004,11.84,12.08,11.85,0.06,0.24,0.10,0.02,0.31
2018-02-22T11-30-34_0005,11.85,12.10,11.85,0.08,0.21,0.09,-0.02,0.17
2018-02-22T11-30-34_0006,11.83,12.09,11.84,0.06,0.26,0.10,0.02,0.47
2018-02-22T11-30-34_0007,11.85,12.11,11.85,0.09,0.23,0.09,0.02,0.21
2018-02-22T11-30-34_0008,11.83,12.08,11.85,0.07,0.51,0.10,0.05,0.20
2018-02-22T11-30-34_0009,11.83,12.09,11.85,0.09,0.30,0.09,0.02,0.45
2018-02-22T11-30-34_0010,11.84,12.08,11.84,0.09,0.30,0.10,0.00,0.18
2018-02-22T11-30-34_0011,11.84,12.09,11.83,0.07,0.21,0.08,0.07,0.19
2018-02-22T11-30-34_0012,11.84,12.08,11.85,0.08,0.52,0.07,0.02,0.17
2018-02-22T11-30-34_0013,11.84,12.10,11.84,0.07,0.23,0.13,0.00,0.19
2018-02-22T11-30-34_0014,11.83,12.09,11.85,0.07,0.23,0.08,0.05,0.42
2018-02-22T11-30-34_0015,11.85,12.10,11.84,0.11,0.20,0.12,-0.02,0.19
2018-02-22T11-30-34_0016,11.84,12.08,11.85,0.09,0.21,0.09,0.05,0.30
2018-02-22T11-30-35_0000,11.83,12.08,11.85,0.08,0.50,0.10,0.02,0.20
2018-02-22T11-30-35_0001,11.85,12.10,11.84,0.06,0.20,0.08,-0.02,0.20
2018-02-22T11-30-35_0002,11.84,12.10,11.83,0.10,0.23,0.08,0.00,0.19
2018-02-22T11-30-35_0003,11.82,12.08,11.85,0.06,0.42,0.10,0.02,0.26
2018-02-22T11-30-35_0004,11.84,12.09,11.82,0.07,0.24,0.09,0.02,0.21
2018-02-22T11-30-35_0005,11.82,12.09,11.84,0.08,0.40,0.10,-0.02,0.30
2018-02-22T11-30-35_0006,11.84,12.07,11.84,0.07,0.40,0.09,0.00,0.19
2018-02-22T11-30-35_0007,11.85,12.11,11.84,0.07,0.23,0.09,0.00,0.19
2018-02-22T11-30-35_0008,11.83,12.08,11.84,0.09,0.22,0.10,0.00,0.48
2018-02-22T11-30-35_0009,11.83,12.08,11.84,0.05,0.52,0.09,0.05,0.23
2018-02-22T11-30-35_0010,11.84,12.08,11.85,0.09,0.50,0.11,-0.05,0.18
2018-02-22T11-30-35_0011,11.85,12.08,11.85,0.09,0.21,0.08,-0.05,0.19
2018-02-22T11-30-35_0012,11.84,12.08,11.83,0.07,0.20,0.11,0.02,0.18
2018-02-22T11-30-35_0013,11.84,12.08,11.82,0.06,0.24,0.09,0.00,0.19
2018-02-22T11-30-35_0014,11.84,12.10,11.84,0.09,0.22,0.07,0.02,0.18
2018-02-22T11-30-35_0015,11.83,12.09,11.85,0.07,0.49,0.08,0.00,0.20
2018-02-22T11-30-35_0016,11.84,12.09,11.83,0.05,0.21,0.07,0.02,0.19
2018-02-22T11-30-36_0000,11.84,12.10,11.84,0.07,0.21,0.11,-0.02,0.18
2018-02-22T11-30-36_0001,11.82,12.09,11.85,0.06,0.42,0.09,-0.05,0.27
2018-02-22T11-30-36_0002,11.85,12.08,11.83,0.05,0.21,0.10,0.07,0.19
2018-02-22T11-30-36_0003,11.85,12.07,11.85,0.05,0.27,0.08,-0.02,0.15
2018-02-22T11-30-36_0004,11.84,12.10,11.84,0.08,0.20,0.09,-0.02,0.21
2018-02-22T11-30-36_0005,11.84,12.07,11.84,0.09,0.40,0.11,-0.02,0.19
2018-02-22T11-30-36_0006,11.85,12.10,11.84,0.07,0.23,0.10,0.00,0.20
2018-02-22T11-30-36_0007,11.85,12.09,11.85,0.07,0.20,0.09,0.05,0.19
2018-02-22T11-30-36_0008,11.83,12.09,11.85,0.08,0.22,0.10,-0.02,0.48
2018-02-22T11-30-36_0009,11.84,12.09,11.82,0.08,0.18,0.14,0.00,0.16
2018-02-22T11-30-36_0010,11.84,12.09,11.85,0.08,0.20,0.12,0.05,0.47
2018-02-22T11-30-36_0011,11.84,12.07,11.85,0.06,0.48,0.11,-0.02,0.17
2018-02-22T11-30-36_0012,11.84,12.08,11.85,0.05,0.18,0.11,-0.02,0.46
2018-02-22T11-30-36_0013,11.82,12.08,11.85,0.07,0.40,0.11,0.05,0.32
2018-02-22T11-30-36_0014,11.85,12.07,11.85,0.07,0.29,0.12,0.02,0.18
2018-02-22T11-30-36_0015,11.85,12.10,11.84,0.06,0.20,0.09,0.05,0.18
2018-02-22T11-30-36_0016,11.85,12.09,11.85,0.05,0.24,0.06,0.00,0.26
2018-02-22T11-30-37_0000,11.85,12.09,11.83,0.08,0.23,0.12,-0.05,0.19
2018-02-22T11-30-37_0001,11.85,12.09,11.84,0.07,0.22,0.08,-0.02,0.24
2018-02-22T11-30-37_0002,11.84,12.10,11.84,0.07,0.21,0.08,0.00,0.17
2018-02-22T11-30-37_0003,11.85,12.08,11.83,0.08,0.20,0.10,-0.02,0.18
2018-02-22T11-30-37_0004,11.84,12.08,11.84,0.09,0.23,0.08,0.02,0.27
2018-02-22T11-30-37_0005,11.84,12.07,11.85,0.08,0.47,0.09,-0.02,0.19
2018-02-22T11-30-37_0006,11.84,12.09,11.83,0.06,0.22,0.11,0.02,0.23
2018-02-22T11-30-37_0007,11.84,12.09,11.85,0.09,0.21,0.07,0.00,0.47
2018-02-22T11-30-37_0008,11.83,12.09,11.85,0.08,0.22,0.11,0.00,0.42
2018-02-22T11-30-37_0009,11.83,12.09,11.85,0.07,0.21,0.10,-0.05,0.44
2018-02-22T11-30-37_0010,11.84,12.09,11.85,0.09,0.22,0.12,-0.05,0.28
2018-02-22T11-30-37_0011,11.84,12.09,11.82,0.06,0.21,0.11,-0.02,0.20
2018-02-22T11-30-37_0012,11.84,12.10,11.84,0.06,0.22,0.09,0.05,0.18
2018-02-22T11-30-37_0013,11.84,12.08,11.85,0.09,0.47,0.12,-0.02,0.18
2018-02-22T11-30-37_0014,11.83,12.08,11.84,0.05,0.49,0.09,0.02,0.21
2018-02-22T11-30-37_0015,11.84,12.09,11.83,0.06,0.24,0.10,0.00,0.20
2018-02-22T11-30-37_0016,11.85,12.09,11.83,0.10,0.22,0.08,0.02,0.17
2018-02-22T11-30-37_0017,11.84,12.10,11.83,0.05,0.24,0.07,-0.02,0.19
2018-02-22T11-30-38_0000,11.85,12.08,11.85,0.06,0.24,0.09,0.00,0.20
2018-02-22T11-30-38_0001,11.85,12.07,11.85,0.06,0.36,0.05,0.02,0.17
2018-02-22T11-30-38_0002,11.83,12.08,11.85,0.05,0.52,0.10,0.00,0.20
2018-02-22T11-30-38_0003,11.84,12.09,11.82,0.08,0.23,0.08,-0.02,0.22
2018-02-22T11-30-38_0004,11.83,12.09,11.85,0.04,0.47,0.10,-0.02,0.25
2018-02-22T11-30-38_0005,11.85,12.07,11.85,0.09,0.37,0.10,-0.02,0.19
2018-02-22T11-30-38_0006,11.83,12.09,11.85,0.05,0.26,0.11,0.02,0.46
2018-02-22T11-30-38_0007,11.85,12.08,11.85,0.08,0.22,0.11,0.02,0.20
2018-02-22T11-30-38_0008,11.82,12.09,11.85,0.08,0.36,0.09,0.00,0.36
2018-02-22T11-30-38_0009,11.84,12.08,11.85,0.07,0.19,0.07,-0.05,0.37
2018-02-22T11-30-38_0010,11.83,12.08,11.85,0.07,0.47,0.08,-0.05,0.21
2018-02-22T11-30-38_0011,11.83,12.09,11.85,0.06,0.31,0.10,-0.02,0.40
2018-02-22T11-30-38_0012,11.84,12.08,11.82,0.08,0.24,0.11,0.00,0.21
2018-02-22T11-30-38_0013,11.83,12.07,11.84,0.07,0.49,0.08,0.02,0.16
2018-02-22T11-30-38_0014,11.84,12.10,11.84,0.06,0.22,0.09,0.05,0.19
2018-02-22T11-30-38_0015,11.84,12.08,11.84,0.08,0.24,0.08,-0.02,0.24
2018-02-22T11-30-38_0016,11.84,12.06,11.84,0.06,0.40,0.08,-0.02,0.19
2018-02-22T11-30-39_0000,11.84,12.08,11.84,0.07,0.24,0.06,0.02,0.16
2018-02-22T11-30-39_0001,11.85,12.11,11.85,0.05,0.21,0.08,0.02,0.19
2018-02-22T11-30-39_0002,11.84,12.09,11.83,0.06,0.21,0.08,0.02,0.23
2018-02-22T11-30-39_0003,11.85,12.09,11.84,0.07,0.22,0.12,0.02,0.18
2018-02-22T11-30-39_0004,11.83,12.08,11.84,0.05,0.50,0.10,0.00,0.22
2018-02-22T11-30-39_0005,11.83,12.07,11.85,0.07,0.52,0.11,0.05,0.19
2018-02-22T11-30-39_0006,11.82,12.08,11.85,0.08,0.41,0.07,0.00,0.27
2018-02-22T11-30-39_0007,11.84,12.09,11.85,0.09,0.23,0.10,-0.02,0.30
2018-02-22T11-30-39_0008,11.85,12.09,11.83,0.05,0.24,0.07,0.00,0.18
2018-02-22T11-30-39_0009,11.84,12.09,11.83,0.05,0.22,0.10,-0.02,0.19
2018-02-22T11-30-39_0010,11.84,12.10,11.83,0.08,0.21,0.10,0.05,0.20
2018-02-22T11-30-39_0011,11.84,12.07,11.85,0.08,0.29,0.11,0.02,0.20
2018-02-22T11-30-39_0012,11.85,12.10,11.84,0.06,0.21,0.07,0.02,0.19
2018-02-22T11-30-39_0013,11.85,12.11,11.85,0.07,0.23,0.07,0.00,0.18
2018-02-22T11-30-39_0014,11.84,12.08,11.85,0.07,0.48,0.09,-0.02,0.20
2018-02-22T11-30-39_0015,11.84,12.08,11.85,0.05,0.22,0.11,-0.02,0.39
2018-02-22T11-30-39_0016,11.83,12.08,11.85,0.08,0.24,0.12,0.07,0.49
2018-02-22T11-30-40_0000,11.84,12.09,11.82,0.09,0.23,0.09,-0.07,0.20
2018-02-22T11-30-40_0001,11.85,12.10,11.84,0.09,0.24,0.07,0.02,0.20
2018-02-22T11-30-40_0002,11.83,12.09,11.85,0.07,0.26,0.10,-0.05,0.45
2018-02-22T11-30-40_0003,11.85,12.09,11.84,0.06,0.23,0.11,0.00,0.20
2018-02-22T11-30-40_0004,11.83,12.08,11.84,0.08,0.49,0.07,0.02,0.21
2018-02-22T11-30-40_0005,11.85,12.08,11.85,0.06,0.23,0.07,0.00,0.21
2018-02-22T11-30-40_0006,11.82,12.08,11.84,0.05,0.48,0.08,-0.02,0.24
2018-02-22T11-30-40_0007,11.84,12.08,11.83,0.08,0.23,0.08,0.02,0.18
2018-02-22T11-30-40_0008,11.83,12.08,11.85,0.05,0.47,0.10,0.02,0.22
2018-02-22T11-30-40_0009,11.85,12.09,11.83,0.07,0.23,0.12,-0.05,0.18
2018-02-22T11-30-40_0010,11.82,12.08,11.85,0.08,0.34,0.09,-0.02,0.39
2018-02-22T11-30-40_0011,11.82,12.08,11.85,0.06,0.37,0.07,-0.02,0.41
2018-02-22T11-30-40_0012,11.82,12.09,11.84,0.05,0.43,0.09,0.07,0.30
2018-02-22T11-30-40_0013,11.83,12.08,11.84,0.06,0.50,0.10,0.00,0.17
2018-02-22T11-30-40_0014,11.84,12.08,11.84,0.07,0.21,0.12,0.00,0.18
2018-02-22T11-30-40_0015,11.84,12.09,11.82,0.06,0.20,0.11,0.00,0.20
2018-02-22T11-30-40_0016,11.84,12.10,11.84,0.08,0.21,0.08,0.02,0.18
2018-02-22T11-30-40_0017,11.83,12.08,11.85,0.09,0.48,0.10,0.00,0.19
2018-02-22T11-30-41_0000,11.82,12.09,11.85,0.07,0.39,0.08,0.02,0.31
2018-02-22T11-30-41_0001,11.85,12.10,11.84,0.06,0.22,0.06,-0.05,0.20
2018-02-22T11-30-41_0002,11.85,12.09,11.83,0.07,0.24,0.08,0.00,0.22
2018-02-22T11-30-41_0003,11.82,12.08,11.85,0.07,0.44,0.10,0.05,0.28
2018-02-22T11-30-41_0004,11.83,12.08,11.84,0.08,0.49,0.06,0.00,0.20
2018-02-22T11-30-41_0005,11.82,12.08,11.85,0.07,0.50,0.09,-0.02,0.23
2018-02-22T11-30-41_0006,11.82,12.08,11.85,0.08,0.27,0.09,0.00,0.40
2018-02-22T11-30-41_0007,11.83,12.08,11.85,0.06,0.23,0.11,-0.05,0.49
2018-02-22T11-30-41_0008,11.84,12.07,11.85,0.05,0.40,0.08,-0.02,0.18
2018-02-22T11-30-41_0009,11.83,12.07,11.84,0.08,0.49,0.09,0.02,0.19
2018-02-22T11-30-41_0010,11.82,12.08,11.85,0.06,0.50,0.09,-0.02,0.24
2018-02-22T11-30-41_0011,11.85,12.07,11.85,0.11,0.29,0.10,0.12,0.19
2018-02-22T11-30-41_0012,11.85,12.10,11.84,0.08,0.21,0.11,0.00,0.21
2018-02-22T11-30-41_0013,11.84,12.08,11.85,0.05,0.20,0.08,-0.02,0.44
2018-02-22T11-30-41_0014,11.85,12.10,11.85,0.08,0.20,0.06,0.00,0.19
2018-02-22T11-30-41_0015,11.84,12.06,11.84,0.07,0.30,0.13,-0.05,0.21
2018-02-22T11-30-41_0016,11.84,12.07,11.85,0.08,0.39,0.07,0.05,0.19
2018-02-22T11-30-42_0000,11.83,12.08,11.85,0.05,0.26,0.10,0.00,0.47
2018-02-22T11-30-42_0001,11.84,12.09,11.82,0.10,0.20,0.10,0.02,0.17
2018-02-22T11-30-42_0002,11.85,12.10,11.85,0.06,0.22,0.08,0.02,0.18
2018-02-22T11-30-42_0003,11.82,12.08,11.85,0.04,0.35,0.08,0.00,0.37
2018-02-22T11-30-42_0004,11.83,12.08,11.85,0.04,0.27,0.08,0.00,0.45
2018-02-22T11-30-42_0005,11.83,12.08,11.84,0.09,0.22,0.10,0.00,0.47
2018-02-22T11-30-42_0006,11.85,12.08,11.83,0.05,0.22,0.07,-0.02,0.21
2018-02-22T11-30-42_0007,11.85,12.11,11.85,0.05,0.24,0.07,0.05,0.17
2018-02-22T11-30-42_0008,11.82,12.08,11.85,0.06,0.34,0.09,0.05,0.34
2018-02-22T11-30-42_0009,11.82,12.08,11.85,0.08,0.49,0.11,0.02,0.24
2018-02-22T11-30-42_0010,11.84,12.09,11.85,0.09,0.22,0.09,0.07,0.41
2018-02-22T11-30-42_0011,11.82,12.09,11.84,0.06,0.47,0.09,-0.02,0.25
2018-02-22T11-30-42_0012,11.85,12.08,11.85,0.09,0.21,0.09,0.00,0.19
2018-02-22T11-30-42_0013,11.84,12.09,11.83,0.07,0.21,0.10,-0.05,0.17
2018-02-22T11-30-42_0014,11.84,12.08,11.84,0.09,0.21,0.11,0.02,0.20
2018-02-22T11-30-42_0015,11.84,12.09,11.84,0.09,0.24,0.09,0.02,0.24
2018-02-22T11-30-42_0016,11.84,12.08,11.85,0.08,0.24,0.07,0.00,0.46
2018-02-22T11-30-43_0000,11.85,12.07,11.85,0.08,0.32,0.09,0.05,0.18
2018-02-22T11-30-43_0001,11.84,12.07,11.84,0.07,0.40,0.11,0.02,0.18
2018-02-22T11-30-43_0002,11.84,12.10,11.84,0.09,0.20,0.09,0.05,0.19
2018-02-22T11-30-43_0003,11.83,12.08,11.85,0.09,0.26,0.05,0.02,0.46
2018-02-22T11-30-43_0004,11.84,12.07,11.84,0.05,0.24,0.10,0.02,0.17
2018-02-22T11-30-43_0005,11.84,12.09,11.84,0.07,0.20,0.07,-0.05,0.39
2018-02-22T11-30-43_0006,11.83,12.08,11.85,0.06,0.48,0.10,0.00,0.23
2018-02-22T11-30-43_0007,11.84,12.09,11.83,0.06,0.20,0.09,0.02,0.15
2018-02-22T11-30-43_0008,11.84,12.10,11.83,0.09,0.21,0.10,0.02,0.18
2018-02-22T11-30-43_0009,11.82,12.09,11.84,0.06,0.34,0.06,0.02,0.36
2018-02-22T11-30-43_0010,11.84,12.08,11.83,0.08,0.19,0.11,0.00,0.20
2018-02-22T11-30-43_0011,11.84,12.09,11.84,0.06,0.23,0.09,0.09,0.24
2018-02-22T11-30-43_0012,11.84,12.09,11.83,0.09,0.26,0.09,0.02,0.19
2018-02-22T11-30-43_0013,11.85,12.10,11.85,0.04,0.20,0.06,0.05,0.18
2018-02-22T11-30-43_0014,11.82,12.08,11.85,0.07,0.48,0.07,-0.02,0.25
2018-02-22T11-30-43_0015,11.82,12.09,11.84,0.09,0.29,0.10,-0.02,0.43
2018-02-22T11-30-43_0016,11.82,12.08,11.85,0.06,0.44,0.10,0.00,0.25
2018-02-22T11-30-44_0000,11.84,12.09,11.82,0.06,0.24,0.11,0.00,0.18
2018-02-22T11-30-44_0001,11.84,12.08,11.85,0.09,0.22,0.09,0.02,0.37
2018-02-22T11-30-44_0002,11.84,12.09,11.82,0.09,0.23,0.11,-0.02,0.18
2018-02-22T11-30-44_0003,11.85,12.09,11.83,0.06,0.23,0.10,0.00,0.16
2018-02-22T11-30-44_0004,11.84,12.09,11.83,0.07,0.21,0.10,0.07,0.18
2018-02-22T11-30-44_0005,11.84,12.08,11.85,0.07,0.21,0.11,-0.02,0.42
2018-02-22T11-30-44_0006,11.84,12.08,11.82,0.05,0.21,0.09,0.00,0.22
2018-02-22T11-30-44_0007,11.84,12.07,11.84,0.07,0.33,0.10,0.00,0.17
2018-02-22T11-30-44_0008,11.85,12.08,11.83,0.08,0.21,0.09,0.00,0.20
2018-02-22T11-30-44_0009,11.85,12.11,11.85,0.07,0.20,0.08,0.02,0.18
2018-02-22T11-30-44_0010,11.84,12.08,11.84,0.08,0.22,0.12,-0.02,0.30
2018-02-22T11-30-44_0011,11.85,12.10,11.85,0.06,0.21,0.05,-0.02,0.17
2018-02-22T11-30-44_0012,11.82,12.09,11.85,0.06,0.34,0.09,0.05,0.35
2018-02-22T11-30-44_0013,11.84,12.09,11.83,0.08,0.22,0.08,-0.02,0.19
2018-02-22T11-30-44_0014,11.84,12.07,11.85,0.07,0.43,0.08,0.00,0.18
2018-02-22T11-30-44_0015,11.84,12.08,11.83,0.08,0.21,0.08,0.02,0.19
2018-02-22T11-30-44_0016,11.84,12.08,11.83,0.10,0.23,0.08,0.00,0.18
2018-02-22T11-30-45_0000,11.84,12.07,11.85,0.08,0.50,0.07,0.05,0.18
2018-02-22T11-30-45_0001,11.85,12.10,11.85,0.06,0.20,0.10,0.00,0.18
2018-02-22T11-30-45_0002,11.84,12.09,11.83,0.08,0.22,0.07,-0.05,0.18
2018-02-22T11-30-45_0003,11.85,12.07,11.85,0.06,0.33,0.11,0.05,0.18
2018-02-22T11-30-45_0004,11.83,12.09,11.85,0.08,0.20,0.10,0.02,0.43
2018-02-22T11-30-45_0005,11.84,12.08,11.85,0.08,0.22,0.10,0.02,0.33
2018-02-22T11-30-45_0006,11.84,12.08,11.83,0.04,0.20,0.08,0.00,0.19
2018-02-22T11-30-45_0007,11.84,12.09,11.83,0.07,0.22,0.11,-0.05,0.19
2018-02-22T11-30-45_0008,11.84,12.09,11.83,0.06,0.22,0.08,0.00,0.19
2018-02-22T11-30-45_0009,11.84,12.09,11.82,0.08,0.21,0.06,-0.02,0.18
2018-02-22T11-30-45_0010,11.84,12.11,11.84,0.07,0.22,0.11,0.00,0.21
2018-02-22T11-30-45_0011,11.84,12.10,11.84,0.07,0.22,0.08,0.05,0.20
2018-02-22T11-30-45_0012,11.82,12.08,11.84,0.07,0.43,0.10,0.02,0.29
2018-02-22T11-30-45_0013,11.84,12.08,11.83,0.07,0.22,0.10,-0.05,0.18
2018-02-22T11-30-45_0014,11.85,12.09,11.85,0.04,0.20,0.07,0.07,0.16
2018-02-22T11-30-45_0015,11.83,12.08,11.85,0.06,0.24,0.10,-0.02,0.46
2018-02-22T11-30-45_0016,11.84,12.09,11.83,0.08,0.20,0.08,0.05,0.17
2018-02-22T11-30-45_0017,11.85,12.09,11.84,0.05,0.23,0.08,0.07,0.20
2018-02-22T11-30-46_0000,11.85,12.08,11.84,0.09,0.23,0.07,0.00,0.16
2018-02-22T11-30-46_0001,11.85,12.08,11.84,0.07,0.22,0.06,-0.02,0.21
2018-02-22T11-30-46_0002,11.84,12.10,11.84,0.04,0.25,0.10,0.05,0.18
2018-02-22T11-30-46_0003,11.82,12.08,11.85,0.08,0.44,0.09,-0.02,0.24
2018-02-22T11-30-46_0004,11.85,12.08,11.83,0.08,0.22,0.07,0.02,0.19
2018-02-22T11-30-46_0005,11.84,12.10,11.84,0.08,0.21,0.08,-0.07,0.19
2018-02-22T11-30-46_0006,11.84,12.09,11.83,0.04,0.21,0.09,0.00,0.17
2018-02-22T11-30-46_0007,11.84,12.07,11.84,0.08,0.40,0.08,0.07,0.18
2018-02-22T11-30-46_0008,11.84,12.08,11.83,0.05,0.22,0.11,0.05,0.18
2018-02-22T11-30-46_0009,11.83,12.09,11.85,0.06,0.26,0.08,0.00,0.46
2018-02-22T11-30-46_0010,11.82,12.08,11.85,0.08,0.43,0.08,0.02,0.30
2018-02-22T11-30-46_0011,11.84,12.09,11.83,0.06,0.19,0.10,0.02,0.17
2018-02-22T11-30-46_0012,11.83,12.08,11.85,0.07,0.20,0.10,-0.02,0.47
2018-02-22T11-30-46_0013,11.84,12.08,11.83,0.08,0.23,0.13,0.07,0.19
2018-02-22T11-30-46_0014,11.84,12.09,11.83,0.08,0.24,0.08,0.05,0.21
2018-02-22T11-30-46_0015,11.84,12.07,11.84,0.06,0.40,0.08,0.00,0.18
2018-02-22T11-30-46_0016,11.84,12.07,11.85,0.09,0.46,0.08,0.00,0.19
