TIMESTAMP,BBM_EBOX_OUT_VOLTAGE_MEASURED,STATOR_AND_MAIN_BATT_IN_VOLTAGE_MEASURED,BBM_WINCH_OUT_VOLTAGE_MEASURED,STATOR_TO_BBM_CURRENT_MEASURED,MAIN_BATT_TO_BBM_CURRENT_MEASURED,BBM_TO_WINCH_AND_BATT_CURRENT_MEASURED,WINCH_BATT_AND_BBM_TO_WINCH_CURRENT_MEASURED,BBM_TO_EBOX_CURRENT_MEASURED
2018-02-22T11-30-04_0009,11.85,12.09,11.85,0.09,0.22,0.10,0.07,0.29
2018-02-22T11-30-04_0010,11.84,12.09,11.85,0.06,0.21,0.11,0.02,0.43
2018-02-22T11-30-04_0011,11.84,12.09,11.82,0.09,0.25,0.06,0.02,0.22
2018-02-22T11-30-04_0012,11.85,12.10,11.85,0.08,0.20,0.08,-0.05,0.18
2018-02-22T11-30-04_0013,11.85,12.08,11.85,0.07,0.36,0.09,0.00,0.19
2018-02-22T11-30-04_0014,11.83,12.09,11.85,0.05,0.29,0.10,0.00,0.37
2018-02-22T11-30-04_0015,11.83,12.09,11.85,0.06,0.46,0.08,0.02,0.27
2018-02-22T11-30-05_0000,11.85,12.10,11.84,0.06,0.21,0.07,0.05,0.17
2018-02-22T11-30-05_0001,11.84,12.09,11.85,0.05,0.20,0.06,0.02,0.26
2018-02-22T11-30-05_0002,11.85,12.11,11.85,0.07,0.22,0.08,0.00,0.19
2018-02-22T11-30-05_0003,11.84,12.08,11.85,0.07,0.51,0.08,0.05,0.17
2018-02-22T11-30-05_0004,11.83,12.09,11.85,0.08,0.27,0.11,0.00,0.41
2018-02-22T11-30-05_0005,11.84,12.08,11.85,0.08,0.50,0.09,-0.02,0.20
2018-02-22T11-30-05_0006,11.84,12.09,11.85,0.07,0.25,0.11,0.00,0.33
2018-02-22T11-30-05_0007,11.85,12.08,11.85,0.07,0.26,0.10,0.00,0.19
2018-02-22T11-30-05_0008,11.85,12.09,11.83,0.05,0.24,0.09,0.00,0.20
2018-02-22T11-30-05_0009,11.85,12.10,11.85,0.09,0.20,0.05,0.02,0.19
2018-02-22T11-30-05_0010,11.85,12.09,11.83,0.08,0.21,0.06,-0.05,0.18
2018-02-22T11-30-05_0011,11.85,12.09,11.85,0.07,0.21,0.09,0.02,0.24
2018-02-22T11-30-05_0012,11.82,12.09,11.86,0.09,0.32,0.08,0.00,0.36
2018-02-22T11-30-05_0013,11.84,12.10,11.84,0.08,0.23,0.09,0.02,0.20
2018-02-22T11-30-05_0014,11.84,12.09,11.85,0.08,0.23,0.09,0.00,0.28
2018-02-22T11-30-05_0015,11.83,12.09,11.85,0.07,0.39,0.08,-0.05,0.31
2018-02-22T11-30-05_0016,11.83,12.08,11.85,0.06,0.49,0.09,0.00,0.20
2018-02-22T11-30-05_0017,11.83,12.08,11.85,0.05,0.49,0.10,-0.02,0.18
2018-02-22T11-30-06_0000,11.85,12.10,11.82,0.06,0.22,0.08,-0.07,0.18
2018-02-22T11-30-06_0001,11.85,12.09,11.83,0.09,0.22,0.10,-0.02,0.18
2018-02-22T11-30-06_0002,11.85,12.09,11.83,0.07,0.24,0.11,0.00,0.20
2018-02-22T11-30-06_0003,11.85,12.08,11.84,0.09,0.24,0.07,0.00,0.17
2018-02-22T11-30-06_0004,11.82,12.08,11.85,0.07,0.39,0.09,0.00,0.30
